R1,R2,R3,R4
0.564540633,0.153493705,0.258464317,25786.57975
0.014425829,0.001964118,0.005970724,7.314958026
0.016281714,0.004696754,0.002905022,0.86981053
0.019962211,0.006041613,0.000642082,1.153663954
0.009690221,0.004190157,0.00134394,0.635170514
0.011649559,0.007589662,0.000573524,0.514989549
0.012984072,0.008159463,0.002984104,0.495805081
0.015450124,0.00554132,0.000760112,0.529020989
0.006441879,0.007887505,0.001192225,0.479688668
0.02069319,0.002590457,0.001843228,0.517332455
0.010433755,0.006681641,0.001198479,0.471724769
0.114464357,0.013690367,0.000581513,14.78304428
0.162920216,0.019402057,0.001873532,18.46091804
0.039265441,0.006191973,0.004222582,10.93545685
0.075778416,0.010856747,0.002863991,13.17187115
0.052141992,0.004750138,0.002046486,9.012871554
0.105715248,0.005959626,0.00230872,11.08348823
0.058265391,0.009354932,0.005517687,9.510711028
0.053025454,0.007234264,0.001484456,10.58588863
0.043706483,0.001895353,0.002380744,8.444995519
0.053035463,0.006897388,0.002074482,8.958141073
0.040951155,0.007478569,0.003852937,8.516319212
0.07275735,0.007271993,0.002392112,9.631353742
0.066583627,0.00364078,0.003860744,7.727445169
0.079853155,0.004546209,0.001001601,8.821296302
0.051692663,0.005578874,0.004512087,6.138980023
0.080580212,0.006722981,0.001187795,7.70330691
0.060432411,0.003719109,0.002459636,7.502787581
0.073593411,0.009262571,0.001052681,7.655427057
0.081022025,0.00658023,0.001569123,7.325837386
0.057033397,0.005182326,0.001899106,7.274053851
0.054183105,0.003001573,0.001926117,6.874918436
0.095433583,0.005816095,0.000559148,7.301245912
0.038892216,0.002465215,0.001729666,6.369844899
0.047860027,0.00316049,0.002229716,6.640675049
0.067097591,0.002994205,0.003449437,6.787995658
0.086275516,0.003524808,0.003212297,6.688669016
0.02235366,0.00419449,0.00313136,6.521090814
0.077298714,0.002377198,0.00216619,6.739454055
0.056215648,0.002429638,0.002653747,6.723451886
0.024358477,0.006187648,0.002924975,6.181744471
0.02620911,0.002595576,0.002135451,5.885792256
0.046411254,0.002067978,0.001614052,6.615062261
0.019907076,0.002759264,0.003532356,5.607778727
0.041050504,0.002313663,0.003909523,5.736161245
0.027980301,0.00199072,0.004121075,4.715812311
0.047984795,0.00087406,0.00115317,5.443174864
0.056470461,0.002192549,0.001466783,5.097956275
0.040680701,0.002975126,0.001812444,5.002405681
0.032520043,0.006337973,0.004321575,5.398069515
0.504386474,0.029417073,0.004715571,48.04982204
0.450538498,0.032343565,0.004263826,43.17118272
0.27134659,0.01371233,0.002484874,35.48524093
0.312689124,0.021899389,0.007025519,37.77871135
0.256563569,0.009841897,0.001355721,30.78705322
0.307368997,0.013781196,0.002327584,35.49409637
0.238969862,0.008865668,0.004108337,28.91171197
0.26976372,0.01658789,0.003841316,29.64256501
0.183283615,0.010190279,0.002369327,26.98162466
0.248962665,0.010235518,0.003432691,30.32133977
0.204314329,0.006684767,0.002738522,24.42000803
0.260963334,0.013102866,0.002723046,27.14090571
0.194975391,0.006024255,0.004068621,25.34179817
0.216402963,0.01500902,0.003657217,29.04963765
0.240164597,0.008164088,0.00203832,24.34036599
0.201905013,0.010837208,0.002448012,29.31058236
0.173439755,0.003487732,0.001864354,26.3296796
0.266101069,0.006984187,0.001935279,28.40839838
0.186758952,0.009134879,0.000614709,22.91473165
0.1792846,0.008733684,0.002749877,26.10825422
0.234576706,0.005505374,0.003013032,23.32205407
0.203153579,0.005948108,0.003467975,23.22605194
0.167929587,0.003040214,0.003347166,26.13660333
0.157224854,0.005474768,0.002376299,25.03845024
0.221357352,0.009195312,0.001601683,23.52505301
0.212338053,0.009854677,0.001369549,24.00376353
0.243859682,0.003933464,0.002493973,24.16172265
0.30117635,0.0078912,0.003011731,25.74865747
0.232861321,0.0070897,0.002334606,22.79647486
0.218890881,0.012136852,0.002788942,23.59072656
0.167023575,0.007654469,0.005002168,21.24573672
0.202344688,0.006465997,0.001858585,22.81779588
0.196908062,0.003580674,0.001301241,23.0640759
0.230315783,0.006113757,0.002780167,21.81758916
0.192962778,0.00328891,0.002864923,19.79172695
0.215948228,0.004769191,0.001862877,20.3459784
0.235057169,0.008434855,0.001019086,20.7378873
0.180661926,0.004145264,0.007128464,18.80924234
0.152713655,0.005016754,0.002449553,21.09075243
0.158858528,0.00417984,0.005974153,18.28876317
1.111810337,0.09436265,0.014380644,82.88587332
0.714511067,0.04497142,0.012704892,59.2869542
0.71146496,0.030673904,0.003906531,60.93066237
0.757632024,0.032407193,0.006577019,57.0596366
0.678419445,0.023230077,0.003147298,52.92028763
0.689909182,0.01971904,0.002290103,52.8788666
0.448080188,0.014424076,0.002824512,43.38251584
0.723944131,0.025944953,0.006462612,52.85132214
0.586880073,0.011597316,0.002976329,44.81214719
0.658502836,0.015050248,0.004535226,49.28348091
0.5362877,0.009815378,0.002006543,41.63507062
0.541512696,0.014587156,0.005428026,46.11425285
0.469540152,0.013092186,0.004169165,39.27010596
0.569485026,0.01919264,0.003965866,39.23599826
0.633348497,0.006431217,0.002343837,40.07051675
0.478855873,0.014809051,0.00119435,40.21671977
0.581468225,0.012700542,0.001954081,43.81368446
0.594717474,0.016118242,0.002995341,40.32571905
0.523843978,0.007979437,0.001979815,42.54284258
0.43070723,0.006422103,0.002394381,34.06686309
0.49978479,0.008800387,0.001483598,32.70329064
0.455547963,0.010604412,0.001889601,32.59395388
0.414177066,0.005036726,0.004299178,35.08945658
0.425301858,0.011069526,0.005881545,32.29598221
0.456679592,0.007375575,0.002321348,36.90260491
0.500042768,0.00911739,0.00380173,34.60479095
0.373788279,0.003033394,0.003019876,30.63099365
0.446560066,0.008966403,0.003572865,34.53436448
0.484088112,0.012463539,0.00099161,33.41589551
0.426991971,0.006603856,0.00423931,32.89870859
0.483656904,0.006263034,0.00284036,32.66956882
0.396739292,0.009583342,0.003807245,33.29963066
0.50894086,0.004301158,0.004671427,35.67823447
0.429767195,0.006023701,0.004985349,32.99443684
0.38849122,0.003426936,0.003894415,30.20972676
0.414856159,0.006230141,0.004292679,31.30067027
0.39186472,0.010997306,0.001241187,31.16432226
0.476471411,0.006608193,0.004149005,33.88207271
0.429941495,0.013210058,0.00187262,31.60501528
0.396373957,0.008126556,0.003713463,31.96966578
1.651972122,0.36578733,0.029618769,76.96412876
1.406396442,0.238463932,0.014021772,75.11805108
1.296658748,0.221571579,0.002944972,70.58156946
1.236119461,0.214889719,0.006480896,71.02683618
1.003944076,0.163150095,0.001933302,56.34909539
1.092999487,0.142831042,0.006024229,66.0095078
0.955795728,0.174759705,0.00181509,59.85042479
0.780971701,0.116400049,0.013223233,51.09764456
0.970505123,0.136727724,0.002766498,60.97065049
0.911580514,0.133584526,0.006042678,56.51241933
0.735636967,0.140830759,0.003673386,50.86403751
0.937398761,0.133277387,0.006909302,46.15723317
0.754098556,0.109111598,0.000881305,46.3516161
0.847327648,0.099426121,0.00861255,36.57959235
0.803764675,0.121307997,0.004226605,55.73507374
0.742910339,0.094433196,0.012310734,47.08591283
0.774592416,0.104448148,0.00532919,52.46088018
0.833685228,0.109906405,0.008666402,47.7544916
0.922704091,0.099397184,0.003510855,50.44049705
0.756206569,0.086848183,0.010651454,48.38119501
0.764985985,0.116928857,0.003769015,45.00221517
0.846243807,0.095960308,0.009349344,48.07992979
0.836623386,0.092862751,0.004398307,42.40091472
0.869483897,0.082692928,0.007021502,44.81499222
0.735499758,0.09845561,0.002761654,44.49667163
0.644910359,0.087511679,0.011320273,42.27784732
0.799983028,0.097865646,0.001744552,44.00267192
0.722527583,0.077537579,0.008146924,43.4542585
0.657896176,0.07573417,0.001064887,44.43921512
0.738391814,0.082556163,0.007516513,42.62870683
0.728172597,0.077485605,0.002924892,46.47279737
0.695404702,0.054309425,0.007357251,41.76291754
0.649664988,0.079421362,0.00295932,43.46776519
0.698082599,0.073697277,0.00597261,39.00657823
0.939582754,0.082693745,0.003661177,52.28043564
0.858166812,0.06556568,0.008811347,35.24928031
0.675907331,0.085032375,0.002274511,44.15225199
0.720706295,0.062788042,0.010405633,32.91685534
0.815347019,0.077339639,0.004066871,48.04964266
0.838614964,0.063454882,0.008058261,39.03821578
0.010280215,0.001020756,0.000553821,0.243655726
0.011252506,0.001425893,0.001463698,0.695208779
0.00244765,0.0032219,0.000996014,1.120448568
0.012854009,0.002637362,0.000744241,1.82044745
0.003007686,0.001131716,0.000329502,1.333594273
0.009620069,0.001044975,0.001653689,0.560760711
0.025423107,0.000578165,0.000724287,3.501507052
0.005489912,0.001376015,0.000879218,10.95067605
4.476142065,0.211320773,0.043505255,193.6180248
2.753323692,0.071398511,0.021385182,158.5268597
2.317250692,0.041175518,0.004057423,148.1383121
2.348652669,0.040352878,0.024206444,165.9556126
1.78044989,0.048265161,0.019839874,132.895528
1.794721628,0.036729353,0.035707871,111.5532307
2.150758646,0.058186339,0.025767031,152.7612512
1.959262844,0.031170324,0.043490256,134.6147534
1.682428147,0.063618681,0.027069796,139.1598485
1.373694336,0.037453851,0.057473141,81.93035958
2.119188661,0.074531335,0.049686541,128.7082273
1.664908291,0.041397585,0.061405304,124.5128061
1.599440743,0.100598405,0.034165668,121.7086566
1.618411604,0.04959324,0.048711635,114.2737322
1.554207078,0.06184018,0.05439259,125.2049876
1.555220697,0.042087102,0.073202276,116.1658813
1.718647968,0.076284108,0.056186203,124.3983221
1.709225316,0.044405381,0.061158377,127.9090274
1.576135676,0.068359803,0.038591769,124.8259813
1.385866319,0.044722364,0.061010069,102.9313946
1.621177472,0.090839081,0.053595396,118.3725863
1.325864496,0.043819008,0.065899994,102.5631919
1.463686595,0.088336443,0.04970797,116.1237277
1.313903898,0.066937123,0.056045536,95.76102089
1.329768034,0.082381372,0.04808722,119.9728176
1.520987362,0.065998766,0.071547411,119.8865152
1.547881059,0.13468023,0.054650552,115.2574883
1.129750478,0.046125006,0.048502792,83.63507037
1.505608089,0.100776269,0.041169094,102.4746112
1.465780041,0.056665239,0.06665651,108.092281
1.67200843,0.075040142,0.054896396,105.3360512
1.231463933,0.039680476,0.053015746,82.63017385
1.135980798,0.111006948,0.031139705,90.77925074
1.179050603,0.056937658,0.05791182,82.39075647
1.278431062,0.08789153,0.018438032,94.37390969
1.434936298,0.063891443,0.043280692,99.80648894
1.123551869,0.113280185,0.015437461,79.38874374
1.306455701,0.052122522,0.055096851,98.80135697
1.269751976,0.076535049,0.02838701,99.29781394
1.389311935,0.033257905,0.053760176,103.6923335
0.00859602,0.002074989,0.001482453,0.582754311
0.010359766,0.001342126,0.00101139,3.886809872
0.011108534,0.001810373,0.001497474,1.83344107
0.003533598,0.00292231,0.000641044,1.228853066
0.010892591,0.002030704,0.001097496,0.264851062
0.004715311,0.001362472,0.000853308,0.550111991
6.213463718,0.28468513,0.017406214,300.2760429
4.705942225,0.347392765,0.126131971,254.4691193
2.945548861,0.560016277,0.194232506,202.6227892
3.45869381,0.433171592,0.17127534,202.1449699
3.635504234,1.025525678,0.390252581,231.4496869
3.229130789,0.510634452,0.204728035,190.1638945
3.322256484,1.066480874,0.425672064,197.9847016
2.938988771,0.581174556,0.265618794,198.1246782
2.89299236,1.117913031,0.385678932,200.8862989
2.956115479,0.807629689,0.345363954,210.5707839
2.143534452,1.21335448,0.327777517,161.7003345
3.025059121,0.82029531,0.344724241,214.1456041
2.772936291,1.177605068,0.398280337,192.2484881
2.143381244,0.899601904,0.253227666,159.1324619
2.259678209,1.295691433,0.347927908,199.4404074
2.140787779,0.104022879,0.099884036,155.3645007
1.653837284,0.590868013,0.132499226,122.853162
2.073724133,0.638604334,0.232106881,161.9839144
1.61715623,1.090821022,0.276854292,146.6192583
1.440796005,0.183780932,0.106198449,121.0533421
1.863970761,0.800224737,0.199225889,156.4565499
1.773486885,0.610727496,0.18661223,142.3452268
1.689899685,1.111517497,0.318024393,163.2462195
1.708816517,0.438943798,0.198818492,142.3370248
1.553963965,1.020117724,0.208309746,117.0929624
1.380242346,0.320277589,0.143465952,115.4924563
1.665341506,0.933860863,0.210975809,131.7104941
1.432701422,0.710250199,0.222325746,129.2519345
1.504172963,0.900757075,0.186790137,131.2294496
1.508891767,0.289217356,0.09442381,116.6103601
1.122651691,0.416953305,0.068671233,114.0672642
1.825479572,0.272342231,0.132185946,131.1743303
1.826286903,0.862128676,0.20589971,138.0293383
1.657700429,0.371293633,0.138274404,127.650779
1.729402713,0.849671906,0.201340414,151.1042131
1.626152229,0.540241946,0.152326932,147.6045436
1.575651552,0.716268165,0.117756201,143.6684129
1.605627763,0.114783944,0.088639211,126.6359816
1.354145706,0.661470422,0.113105746,119.5355103
1.773638186,0.239458992,0.103997278,129.406646
4.040089189,1.449301564,0.197140163,190.0011391
4.022841799,0.250917791,0.064470025,171.061258
3.801959324,4.948982003,1.097317501,219.7654434
3.14607302,1.663197801,0.554630367,177.5838854
1.730292396,1.91532805,0.394828362,135.4405536
2.802398623,2.909043471,1.069919711,156.9580086
2.003709461,1.010600168,0.339450452,129.5014684
2.709816316,0.289212231,0.185402462,149.0046512
2.142077368,1.57079535,0.491477418,155.742671
2.517186112,0.326922522,0.244766266,142.1456176
2.092104068,0.844160203,0.229390852,161.313766
2.004153827,0.256167653,0.215057182,114.3073506
1.726215901,2.262973439,0.523626969,128.4270807
2.108087866,0.581164391,0.385092251,125.9562871
1.803094411,1.70658602,0.382236744,140.511764
2.62065538,0.013366881,0.181442306,123.8134063
1.849086003,1.695122588,0.408946001,130.1417367
2.03838148,0.085280118,0.188262488,117.7688056
1.798248608,0.670854388,0.220513935,137.9088709
2.142671455,0.046891218,0.238759546,118.6638284
1.604130085,1.958920748,0.512931831,118.7637812
1.921167591,0.210341557,0.295100539,121.8410799
1.398055474,0.130719164,0.020936166,110.1441114
2.032608408,0.030886203,0.15817911,105.4071508
1.745206532,0.757974891,0.177422278,134.9510395
2.060225941,0.214271414,0.258098422,131.500113
2.066774855,1.367572693,0.446122085,143.0916257
1.960684417,0.038622403,0.211738442,98.2986005
1.937136977,1.59809509,0.434437847,151.5603217
1.90569918,0.147356861,0.269290055,135.2155695
1.692425096,0.165647954,0.01432213,128.5134432
2.082096038,0.040260919,0.157306859,128.1944641
1.849880964,2.727616695,0.809894725,158.6446476
2.181674256,0.236330674,0.271514348,175.2330449
1.713638755,0.546531992,0.117226533,127.7303189
1.974041684,0.981337719,0.496307597,186.5996221
1.768407724,3.636126177,1.059972409,182.8706988
1.585448046,0.133882483,0.165007264,128.4632496
1.353217997,4.449554522,1.240923937,239.823929
0.888188811,3.217461503,0.911758748,259.5930375
1.472616525,5.984899715,1.200597174,506.3392081
0.362337872,6.161609066,1.39505942,500.938723
0.059779282,4.809997903,0.884415071,275.9038742
2.949968921,0.145672869,0.159968377,286.4070135
0.110646136,5.629761643,1.710716694,1365.881835
0.150039615,5.873563177,1.530956899,1162.567395
0.992812125,7.262204354,2.006454606,1714.049961
0.978479956,3.312819462,1.075672689,1302.283737
1.236485805,4.686416988,1.230351774,1745.998302
0.43478535,3.310450851,1.055927817,1348.826813
1.072811512,6.187668633,1.785878699,1834.322179
1.004652188,2.170987996,0.908852875,1550.615343
1.396363263,6.778414903,1.954848093,1963.77173
1.592896229,2.673540736,1.028320294,2006.614121
1.287171345,4.719304747,1.316149597,1695.625743
0.781004853,0.885726978,0.404974081,1468.37313
1.510190074,3.097410488,0.746554748,1731.349101
0.027701394,0.366859144,0.144696965,0.430008628
1.385239982,0.762582826,0.33706936,1741.469095
1.059889866,6.560137213,1.748358898,1923.232701
0.469365367,2.830648849,0.912898772,1202.993741
1.435493873,5.231358662,1.481694592,1933.37666
1.795145894,0.656782172,0.315333896,1890.817788
1.129231704,4.108548892,1.091885617,1818.640296
0.499684676,3.361346252,1.185407024,1625.771636
1.276185522,5.209921285,1.311600514,2107.259805
1.309785327,1.788920792,0.680879411,1526.668171
1.113441769,4.844224324,1.220495928,1794.992093
0.578187533,2.136549165,0.700628273,1309.494826
1.259875994,5.459564505,1.41526337,3377.577661
1.377643946,1.721990242,0.54267544,1120.537467
1.517405826,4.809971842,1.363851952,2342.853885
0.028195124,2.289422069,0.521660529,68.36874238
1.743315459,0.07338578,0.118687174,2233.883285
1.014835686,3.112723576,0.724488535,1849.650452
1.321674566,4.530763815,1.475138493,2081.360322
1.480878387,5.487836727,1.308234698,2203.621791
1.374587632,1.574569834,0.603587292,2067.924122
1.748598014,5.724382,1.51923267,2350.799159
0.831624098,3.787980304,1.20607009,1867.010341
1.37460527,5.536488419,1.461870881,2230.900016
0.03430584,2.8323008,0.623101337,4.082705043
1.141123176,0.641451961,0.24440541,1602.267681
1.540324981,5.326746343,1.210171845,2107.572359
0.783048192,3.161203941,0.868695652,1497.565785
0.006176361,0.002354406,0.001519935,0.608567138
0.010733167,0.001818759,0.001849941,0.419401897
0.005608629,0.001161167,0.00104595,0.614569315
0.009886295,0.000503855,0.00114414,0.708950326
0.007666846,0.001442601,0.000438118,0.358459416
0.013820569,0.002224586,0.000633288,2.145653814
3.409735847,6.669290654,1.26084432,2330.221317
1.480001299,0.575314536,0.193590817,1087.145427
1.301845411,5.725372728,1.312189135,2010.021033
0.779853921,1.685931772,0.491400229,1745.182215
2.030524681,8.793439859,2.193773269,2586.970025
1.965360569,0.349056422,0.222909616,2239.656285
0.557988556,8.966881945,2.214969352,1900.393886
2.054080433,1.43119852,0.519709695,2683.675309
1.360759929,1.982306667,0.527297272,2317.414631
0.0554586,3.249772688,0.995902592,13.72908306
1.895502241,2.744820448,1.127114322,2350.034522
0.933113283,2.232779428,0.494286358,1984.875741
1.941439866,1.371656141,0.526900144,2272.914537
2.289592093,6.083928715,1.554538533,2652.50872
1.725407325,1.845402868,0.646902298,2280.914726
1.777636241,7.673530698,2.115697274,2404.611561
0.054110442,5.730775298,1.486455505,10.28421637
1.942990213,0.549667933,0.371172222,2352.415661
1.711505633,6.390373623,1.73684693,2599.474024
1.026234035,0.553046064,0.292998153,1892.031902
2.063568293,3.280012556,0.72357377,2937.755464
1.084467703,1.121051994,0.487115218,2158.794741
2.140666944,5.611417791,1.575743924,2610.924637
1.775567422,1.218664257,0.54945355,2537.438742
1.952914327,7.218235009,1.712810738,2715.815326
2.19611275,0.785751845,0.435891874,2571.097673
2.244158746,4.526597548,1.199819544,2997.914945
2.088619221,1.43115116,0.623258155,2708.38486
1.849863701,3.315952216,0.733433045,2643.471021
1.823158671,1.430503294,0.63260179,2440.731086
1.63948511,7.748512591,2.240921809,3006.416949
0.923122356,2.062848482,0.847533335,2136.43475
2.376819693,2.977316304,0.772179292,2867.900849
2.199161407,0.988530211,0.555265367,2727.998071
2.474194297,2.317318322,0.622375395,2888.951397
0.145055808,3.505814977,1.091152976,18.33727706
1.721393169,1.577476529,0.744297785,2843.195333
2.447323358,4.450965775,1.111030228,3107.516373
1.797475064,0.73412,0.470356938,2490.098145
1.499890903,5.730280201,1.522444402,2468.790809
1.806893844,2.977486194,1.312489365,2830.897055
1.991301838,4.968785499,1.364924231,2970.762442
1.555615558,0.453007328,0.266456672,2098.603512
